row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
target_decoder_holdout_n64,target model decoder ablation,Qwen3 target decoder,holdout n64 CPU,pass,0.71875,0.25,0.265625,0.46875,0.453125,2.0,1.0,2236.993042002723,,1.0,,,,n=64; generated_tokens=13.0
target_decoder_core_n16_progress_subset,target model decoder ablation,Qwen3 target decoder,core n16 CPU progress subset,pass,0.6875,0.25,0.25,0.4375,0.4375,2.0,1.0,4190.551874999073,,1.0,,,,n=16; generated_tokens=13.0
target_decoder_holdout_n16_progress_subset,target model decoder ablation,Qwen3 target decoder,holdout n16 CPU progress subset,pass,0.75,0.25,0.25,0.5,0.5,2.0,1.0,4059.4567704974907,,1.0,,,,n=16; generated_tokens=13.0
target_decoder_core_n16_all_controls,target model decoder ablation,Qwen3 target decoder,core n16 CPU all controls,pass,0.6875,0.25,0.25,0.4375,0.4375,2.0,1.0,2064.014749994385,,1.0,,,,n=16; generated_tokens=13.0
target_decoder_holdout_n16_all_controls,target model decoder ablation,Qwen3 target decoder,holdout n16 CPU all controls,fail,0.75,0.25,0.3125,0.5,0.4375,2.0,1.0,2151.830583505216,,1.0,,,,n=16; generated_tokens=13.0
target_decoder_core_n32_short_decode_fail,target model decoder ablation,Qwen3 target decoder,core n32 CPU all controls short decode diagnostic,fail,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1689.9466659961035,,0.0,,,,n=32; generated_tokens=8.0
target_decoder_core_n32_all_controls,target model decoder ablation,Qwen3 target decoder,core n32 CPU all controls,pass,0.6875,0.25,0.25,0.4375,0.4375,2.0,1.0,2117.0296874988708,,1.0,,,,n=32; generated_tokens=13.0
target_decoder_holdout_n32_all_controls,target model decoder ablation,Qwen3 target decoder,holdout n32 CPU all controls,pass,0.75,0.25,0.28125,0.5,0.46875,2.0,1.0,2123.8639169969247,,1.0,,,,n=32; generated_tokens=13.0
endpoint_proxy_core_n8_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n8 CPU diag-parse,pass,0.75,0.25,0.25,0.5,0.5,2.0,1.0,1412.5966874998994,2031.410750001669,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=8; prompt_style=canonical; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=181.1ms; full_log_e2e_delta=-38.9ms; best_verbose_relay=1.000
endpoint_proxy_holdout_n8_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n8 CPU diag-parse,pass,0.75,0.25,0.25,0.5,0.5,2.0,1.0,1434.9395204990287,2025.3620000003139,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=8; prompt_style=canonical; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=279.5ms; full_log_e2e_delta=5.9ms; best_verbose_relay=1.000
endpoint_proxy_core_n16_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU diag-parse,pass,0.6875,0.25,0.25,0.4375,0.4375,2.0,1.0,2057.4268539930927,2140.667375002522,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=canonical; packet_minus_target=0.438; packet_strict=0.688; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=165.4ms; full_log_e2e_delta=-636.3ms; best_verbose_relay=1.000
endpoint_proxy_holdout_n16_diagparse,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU diag-parse,pass,0.6875,0.25,0.25,0.4375,0.4375,2.0,1.0,1989.7604165016674,2166.7506670055445,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=canonical; packet_minus_target=0.438; packet_strict=0.688; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=190.7ms; full_log_e2e_delta=-623.0ms; best_verbose_relay=1.000
endpoint_proxy_core_n16_terse_fail,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU terse prompt stress,fail,0.25,0.25,0.25,0.0,0.0,2.0,1.0,2898.2601250027074,3281.5258339978755,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=terse; packet_minus_target=0.000; packet_strict=0.250; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=283.4ms; full_log_e2e_delta=-1551.2ms; best_verbose_relay=0.688
endpoint_proxy_core_n16_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,core seed29 n16 CPU audit prompt,pass,0.75,0.25,0.25,0.5,0.5,2.0,1.0,775.2690210036235,867.8120830008993,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.500; packet_strict=0.750; best_source_control=0.250; query_payload_compression=7.0x; full_log_payload_compression=183.2x; full_log_ttft_delta=182.1ms; full_log_e2e_delta=209.7ms; best_verbose_relay=0.812
endpoint_proxy_holdout_n16_audit,Mac endpoint-proxy byte/TTFT frontier,Qwen3-0.6B packet vs text/log relay,holdout seed30 n16 CPU audit prompt,pass,0.875,0.3125,0.3125,0.5625,0.5625,2.0,1.0,761.6421665006783,2129.042832995765,1.0,,,matched-byte text / query-aware text / structured relay / full log,n=16; prompt_style=audit; packet_minus_target=0.562; packet_strict=0.875; best_source_control=0.312; query_payload_compression=7.0x; full_log_payload_compression=186.8x; full_log_ttft_delta=150.2ms; full_log_e2e_delta=310.4ms; best_verbose_relay=0.875
